,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Ogrzewanie,Rok budowy,Stan wykończenia,Forma własności,Okna,Czynsz,Dostępne od,Cena
1409,47.86,2,pierwotny,apartamentowiec,0,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,301518.0
1410,85.01,3,pierwotny,apartamentowiec,0,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,522981.0
1411,160,1,wtórny,kamienica,4,4,cegła,gazowe,1920,do remontu,pełna własność,drewniane,,,220000.0
1412,65.01,3,pierwotny,apartamentowiec,0,4,pustak,miejskie,2021,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,396561.0
1413,145,3,wtórny,kamienica,4,4,cegła,gazowe,1920,do zamieszkania,pełna własność,plastikowe,,,290000.0
1414,33.90,1,pierwotny,apartamentowiec,0,4,pustak,miejskie,2020,do wykończenia,pełna własność,plastikowe,2.30,2021-02-01,220350.0
1415,83.50,4,wtórny,kamienica,1,3,,,,do zamieszkania,pełna własność,,,,399000.0
1416,84,3,wtórny,kamienica,1,3,,,,do zamieszkania,,plastikowe,,,420750.0
1417,47.70,2,wtórny,kamienica,2,2,cegła,miejskie,1909,,,,360,,249000.0
1418,48,2,wtórny,apartamentowiec,0,2,inne,gazowe,2012,,pełna własność,plastikowe,,,349000.0
1419,28.20,1,pierwotny,apartamentowiec,2,6,,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,273540.0
1420,47.45,3,pierwotny,apartamentowiec,5,6,,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,348757.5
1421,36.06,2,pierwotny,apartamentowiec,0,6,,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,277662.0
1422,59.24,4,pierwotny,apartamentowiec,1,6,,miejskie,2020,do wykończenia,pełna własność,plastikowe,,,405794.0
1423,96.36,4,pierwotny,apartamentowiec,4,4,,miejskie,,do wykończenia,,plastikowe,,,664884.0
1424,38.81,2,pierwotny,blok,5,6,cegła,,2020,,,,,,232860.0
1425,39,2,wtórny,,0,4,,,2015,,,,,,269500.0
1426,28.23,1,pierwotny,apartamentowiec,2,6,,miejskie,,do wykończenia,,plastikowe,,,276654.0
1427,55.27,4,pierwotny,apartamentowiec,5,6,,miejskie,,do wykończenia,,plastikowe,,,395180.0
1428,41.67,2,pierwotny,apartamentowiec,5,6,,miejskie,,do wykończenia,,plastikowe,,,318776.0
1429,55.27,4,pierwotny,apartamentowiec,6,6,,miejskie,,do wykończenia,,plastikowe,,,397944.0
1430,50.05,2,pierwotny,apartamentowiec,0,4,,miejskie,,do wykończenia,,plastikowe,,,312913.0
1431,47.45,3,pierwotny,apartamentowiec,5,6,,miejskie,,do wykończenia,,plastikowe,,,353502.0
1432,55.27,4,pierwotny,apartamentowiec,3,6,,miejskie,,do wykończenia,,plastikowe,,,389654.0
1433,47.45,3,pierwotny,apartamentowiec,3,6,,miejskie,,do wykończenia,,plastikowe,,,348758.0
1434,47.84,3,pierwotny,apartamentowiec,3,6,,miejskie,,do wykończenia,,plastikowe,,,351624.0
1435,28.23,1,pierwotny,apartamentowiec,3,6,,miejskie,,do wykończenia,,plastikowe,,,276654.0
1436,55.27,4,pierwotny,apartamentowiec,2,6,,miejskie,,do wykończenia,,plastikowe,,,386890.0
1437,28.23,1,pierwotny,apartamentowiec,4,6,,miejskie,,do wykończenia,,plastikowe,,,276654.0
1438,47.45,3,pierwotny,apartamentowiec,2,6,,miejskie,,do wykończenia,,plastikowe,,,346385.0
1439,72,3,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,394200.0
1440,51.50,2,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,277500.0
1441,93,4,wtórny,,1,2,,,,,spółdzielcze wł. z KW,,1 000,,470000.0
1442,91,4,pierwotny,apartamentowiec,3,5,,miejskie,,,pełna własność,plastikowe,,,499500.0
1443,53.43,2,pierwotny,,0,3,,,2017,,pełna własność,,,,245778.0
1444,41.21,1,pierwotny,apartamentowiec,0,4,,,2017,,pełna własność,,,,189566.0
1445,42.27,2,pierwotny,apartamentowiec,0,4,,miejskie,2018,do wykończenia,,plastikowe,,,280000.0
1446,66.95,3,pierwotny,apartamentowiec,2,4,,miejskie,2018,do wykończenia,,plastikowe,,,444000.0
